編號,食品業者登錄字號,店名,總部評核,電話,地址,餐飲業別,評核等級,longitude,latitude
222,F-185342083-00001-7,Q Burger_汐止明峰店,是,02-26932023,新北市汐止區明峰街125-3號1樓,早餐店,優,121.6280097,25.07093597
223,F-185342099-00001-4,Q Burger_新店大豐店,是,02-89146488,新北市新店區大豐路16巷2號,早餐店,優,121.5383617,24.98039527
224,F-185345552-00001-1,Q Burger_新莊雙鳳店,是,02-29081680,新北市新莊區雙鳳路23號1樓,早餐店,優,121.4140591,25.02678488
225,F-185346454-00001-3,Q Burger_林口仁愛店,是,02-26016558,新北市林口區西林里仁愛路二段150號,早餐店,優,121.3793862,25.07436077
226,F-185347643-00001-4,Q Burger_三重仁政店,是,02-29886667,新北市三重區溪美里仁愛街349號,早餐店,優,121.4896014,25.07970947
227,F-185348170-00001-0,Q Burger_三峽中華店,是,02-86719007,新北市三峽區安溪里中華路46-2號,早餐店,優,121.3692849,24.93038658
228,F-185424417-00001-9,Q Burger_板橋大仁店,是,02-29666587,新北市板橋區大仁街26號1樓,早餐店,優,121.4529249,25.01694298
229,F-185439024-00001-9,Q Burger_板橋僑中店,是,02-82752908,新北市板橋區僑中一街90號1樓,早餐店,優,121.4444982,25.01174427
230,F-185441099-00001-4,Q Burger_板橋廣和店,是,02-29646679,新北市板橋區廣和街73號1樓,早餐店,優,121.4601336,24.99266708
231,F-185446329-00001-5,Q Burger_泰山泰林店,是,02-29090097,新北市泰山區泰林路二段475號1樓,早餐店,優,121.4226184,25.06388168
232,F-187310410-00001-8,Q Burger_三重大智店,是,02-29883200,新北市三重區大智街55號,早餐店,優,121.4901576,25.06780957
233,F-187313015-00001-2,Q Burger_五股成洲店,是,02-22918228,新北市五股區成泰路三段577巷43號1樓,早餐店,優,121.4483595,25.10298767
234,F-187313021-00001-9,Q Burger_板橋介壽店,是,02-22553597,新北市板橋區介壽街17號1樓,早餐店,優,121.4651503,25.02024188
235,F-187314274-00001-0,Q Burger_汐止秀峰店,是,02-26430098,新北市汐止區仁愛路26號1樓,早餐店,優,121.6573729,25.06288598
236,F-187314458-00001-4,Q Burger_土城延吉店,是,02-82610582,新北市土城區延吉街312號,早餐店,優,121.4612971,24.98411168
237,F-187315317-00001-9,Q Burger_土城青雲店,是,02-22730363,新北市土城區青雲路238號1樓,早餐店,優,121.4564169,24.98060437
238,F-187318686-00001-1,Q Burger_中和中興店,是,02-22429011,新北市中和區中興街163號1樓,早餐店,優,121.4974709,24.99083208
239,F-187319637-00001-8,Q Burger_汐止綠多店,是,02-26430058,新北市汐止區仁愛路162號1樓,早餐店,優,121.6616509,25.06505088
240,F-187464174-00001-5,Q Burger_泰山泰高店,是,02-22960737,新北市泰山區明志路一段433號一樓,早餐店,優,121.4283969,25.05634267
241,F-187469380-00001-9,Q Burger_土城學成店,是,02-82731862,新北市土城區學成路47號,早餐店,優,121.4497006,24.98736408
242,F-187476896-00001-9,Q Burger_中和保健店,是,02-22460690,新北市中和區景安路22號1樓,早餐店,優,121.5047721,24.99872788
243,F-187487802-00000-7,Q Burger_中和秀朗店,是, 02-29222380,新北市中和區秀朗路三段48號1樓,早餐店,優,121.5237763,24.99554398
244,F-187491881-00001-0,Q Burger_林口國小店,是,02-26012712,新北市林口區中山路156-1號一樓,早餐店,優,121.388278,25.07890688
245,F-187510418-00001-8,Q Burger_永和永利店,是,02-22320310,新北市永和區永利路3號1樓,早餐店,優,121.5148658,25.00605518
246,F-187510439-00001-1,Q Burger_板橋永豐店,是,02-29580337,新北市板橋區永豐街115號,早餐店,優,121.4717325,25.01968438
247,F-190838866-00001-2,Q Burger_新店建國店,是,02-22188372,新北市新店區建國路189號1樓,早餐店,優,121.5353723,24.97967427
248,F-191090753-00001-8,Q Burger_新莊光明店,是,02-22035686,新北市新莊區民安西路256號1樓,早餐店,優,121.4232611,25.01352598
249,F-191120757-00001-6,Q Burger_三重菜寮店,是,02-29880901,新北市三重區重新路三段93號1樓,早餐店,優,121.4890109,25.06014758
250,F-191183730-00001-6,Q Burger_土城立德店,是,02-22632929,新北市土城區延和路54號,早餐店,優,121.462923,24.98878098
251,F-191191773-00001-2,Q Burger_新店安民店,是,02-22120652,新北市新店區安民街300號一樓,早餐店,優,121.5151621,24.97367198
252,F-191193435-00001-9,Q Burger_鶯歌南雅店,是,02-86776886,新北市鶯歌區南雅路447號1樓,早餐店,優,121.3440499,24.95419808
253,F-191194595-00001-7,Q Burger_蘆洲長安店,是,02-22882985,新北市蘆洲區長安街53號,早餐店,優,121.4605751,25.07960558
254,F-200148360-00001-7,Q Burger_板橋國慶店,是,02-29511321,新北市板橋區國慶路161之5號,早餐店,優,121.4592349,24.99622778
255,F-200148495-00001-6,Q Burger_樹林保安店,是,02-26889990,新北市樹林區保安街二段115號1樓,早餐店,優,121.4128679,25.00155407
256,F-200148719-00001-5,Q Burger_板橋華興店,是,02-29522710,新北市板橋區華興街40號,早餐店,優,121.4559073,25.00475737
257,F-200150073-00001-1,Q Burger_五股西雲店,是,02-22935777,新北市五股區西雲路241號1樓,早餐店,優,121.4464941,25.09775168
258,F-200150931-00001-4,Q Burger_中和仁愛店,是,02-29436889,新北市中和區仁愛街102號,早餐店,優,121.5089671,24.98705918
259,F-200167663-00001-4,Q Burger_三重龍門店,是,02-29772611,新北市三重區龍門路40號,早餐店,優,121.4934074,25.07244868
260,F-200173632-00001-7,Q Burger_蘆洲信義店,是,02-28487578,新北市蘆洲區信義路245號,早餐店,優,121.4764369,25.08427637
261,F-200184165-00001-0,Q Burger_板橋莊敬店,是,02-22555663,新北市板橋區莊敬路134號,早餐店,優,121.4683052,25.02354098
262,F-200186792-00001-8,Q Burger_土城員林店,是,02-82610003,新北市土城區員林街10之2號一樓,早餐店,優,121.4403701,24.97784598
263,F-200196930-00001-3,Q Burger_中和中山店,是,02-82211126,新北市中和區員山路454號 ,早餐店,優,121.4774368,25.00621207
264,F-200208216-00001-4,Q Burger_中和景安店,是,02-86682175,新北市中和區景新街175號1樓,早餐店,優,121.5042455,24.99552428
